Random,NSGA_2,NSGA_3,IBEA,MOCell,SPEA_2
0.582,0.284,0.089,0.075,0.365,0.196
0.572,0.218,0.193,0.041,0.355,0.222
0.608,0.239,0.134,0.151,0.523,0.22
0.586,0.248,0.198,0.084,0.348,0.211
0.575,0.177,0.045,0.019,0.333,0.148
0.591,0.226,0.17,0.09,0.448,0.175
0.579,0.178,0.121,0.111,0.484,0.227
0.586,0.228,0.127,0.166,0.394,0.267
0.558,0.245,0.168,0.104,0.519,0.127
0.589,0.172,0.185,0.066,0.334,0.191
0.586,0.288,0.129,0.075,0.415,0.114
0.582,0.166,0.096,0.053,0.377,0.067
0.591,0.203,0.263,0.015,0.346,0.229
0.583,0.126,0.172,0.015,0.465,0.089
0.592,0.253,0.193,0.155,0.448,0.248
0.589,0.199,0.105,0.164,0.444,0.132
0.596,0.23,0.135,0.159,0.382,0.142
0.553,0.219,0.182,0.083,0.361,0.238
0.589,0.198,0.107,0.12,0.371,0.145
0.584,0.203,0.043,0.097,0.114,0.234
0.585,0.132,0.076,0.211,0.28,0.115
0.588,0.269,0.251,0.121,0.356,0.187
0.566,0.253,0.152,0.04,0.512,0.164
0.596,0.205,0.147,0.021,0.551,0.228
0.579,0.229,0.069,0.035,0.524,0.219
0.575,0.254,0.256,0.056,0.495,0.09
0.577,0.221,0.094,0.035,0.317,0.176
0.584,0.149,0.057,0.044,0.382,0.232
0.591,0.217,0.085,0.094,0.428,0.171
0.573,0.159,0.104,0.143,0.352,0.223
