Random,NSGA_2,NSGA_3,IBEA,MOCell,SPEA_2
0.682,0.551,0.346,0.355,0.556,0.408
0.692,0.389,0.421,0.345,0.645,0.379
0.683,0.491,0.378,0.359,0.576,0.477
0.693,0.446,0.455,0.336,0.509,0.422
0.673,0.509,0.33,0.368,0.462,0.432
0.684,0.419,0.428,0.492,0.655,0.463
0.687,0.427,0.421,0.422,0.597,0.418
0.685,0.451,0.376,0.402,0.518,0.404
0.691,0.533,0.426,0.349,0.474,0.461
0.693,0.452,0.326,0.407,0.657,0.533
0.684,0.489,0.368,0.344,0.619,0.433
0.695,0.353,0.414,0.401,0.436,0.432
0.679,0.397,0.442,0.323,0.552,0.489
0.687,0.465,0.448,0.418,0.51,0.419
0.691,0.489,0.39,0.357,0.56,0.386
0.69,0.457,0.412,0.399,0.659,0.479
0.68,0.405,0.364,0.376,0.579,0.434
0.681,0.457,0.326,0.359,0.477,0.443
0.695,0.483,0.392,0.381,0.525,0.477
0.679,0.474,0.417,0.37,0.645,0.408
0.691,0.472,0.465,0.351,0.647,0.416
0.682,0.417,0.37,0.361,0.533,0.476
0.681,0.454,0.355,0.435,0.667,0.427
0.697,0.449,0.377,0.375,0.658,0.448
0.685,0.459,0.415,0.32,0.557,0.451
0.692,0.45,0.39,0.365,0.51,0.399
0.679,0.447,0.342,0.389,0.464,0.51
0.687,0.462,0.377,0.337,0.546,0.416
0.684,0.415,0.417,0.391,0.492,0.458
0.695,0.453,0.421,0.391,0.658,0.465
