Random,NSGA_2,NSGA_3,IBEA,MOCell,SPEA_2
0.736,0.584,0.558,0.547,0.689,0.625
0.736,0.607,0.595,0.544,0.702,0.588
0.742,0.567,0.537,0.563,0.722,0.605
0.74,0.597,0.51,0.532,0.653,0.561
0.737,0.592,0.592,0.532,0.596,0.561
0.743,0.593,0.543,0.549,0.72,0.618
0.717,0.593,0.527,0.55,0.617,0.573
0.741,0.602,0.551,0.528,0.66,0.554
0.743,0.595,0.616,0.573,0.723,0.538
0.736,0.613,0.552,0.545,0.724,0.61
0.736,0.595,0.56,0.594,0.681,0.573
0.743,0.573,0.548,0.562,0.632,0.588
0.735,0.611,0.514,0.593,0.724,0.598
0.748,0.548,0.562,0.536,0.661,0.617
0.739,0.62,0.548,0.547,0.602,0.585
0.735,0.581,0.541,0.515,0.604,0.594
0.741,0.572,0.578,0.531,0.665,0.61
0.732,0.578,0.548,0.495,0.617,0.571
0.734,0.597,0.576,0.592,0.713,0.569
0.734,0.578,0.57,0.607,0.654,0.57
0.738,0.582,0.547,0.568,0.603,0.587
0.732,0.526,0.566,0.572,0.73,0.603
0.739,0.579,0.59,0.564,0.681,0.609
0.732,0.597,0.563,0.518,0.726,0.528
0.739,0.571,0.539,0.556,0.624,0.569
0.727,0.589,0.549,0.608,0.696,0.607
0.744,0.568,0.593,0.572,0.664,0.611
0.737,0.598,0.572,0.607,0.716,0.544
0.742,0.598,0.58,0.506,0.617,0.546
0.738,0.541,0.574,0.563,0.677,0.528
